XL2 Broadband Logging:		$FILENAME                                                     
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-06200-E0, FW2.50
	Mic Type:       	NTi Audio M4260, S/N: 3530, Factory adjusted 
	Mic Sensitivity:	28.8 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	20 - 120 dB

# Time
	Start:          	2017-06-25, 09:12:14
	End:            	--------------------

# Broadband LOG Results
	Date        	Time      	Timer     	LAeq_dt 	LAeq    
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]    	[dB]    
	2017-06-25  	09:16:34  	00:04:20  	49.0    	59.7    
	2017-06-25  	09:16:35  	00:04:21  	49.0    	59.7    
	2017-06-25  	09:16:36  	00:04:22  	48.9    	59.7    
	2017-06-25  	09:16:37  	00:04:23  	48.6    	59.7    
	2017-06-25  	09:16:38  	00:04:24  	48.2    	59.6    
	2017-06-25  	09:16:39  	00:04:25  	47.8    	59.6    
	2017-06-25  	09:16:40  	00:04:26  	48.8    	59.6    
	2017-06-25  	09:16:41  	00:04:27  	48.4    	59.6    
	2017-06-25  	09:16:42  	00:04:28  	48.2    	59.6    
	2017-06-25  	09:16:43  	00:04:29  	48.1    	59.6    
	2017-06-25  	09:16:44  	00:04:30  	48.0    	59.6    
	2017-06-25  	09:16:45  	00:04:31  	48.3    	59.5    
	2017-06-25  	09:16:46  	00:04:32  	48.3    	59.5    
	2017-06-25  	09:16:47  	00:04:33  	48.0    	59.5    
	2017-06-25  	09:16:48  	00:04:34  	48.0    	59.5    
	2017-06-25  	09:16:49  	00:04:35  	48.5    	59.5    
	2017-06-25  	09:16:50  	00:04:36  	48.7    	59.5    
	2017-06-25  	09:16:51  	00:04:37  	51.2    	59.5    
	2017-06-25  	09:16:52  	00:04:38  	49.5    	59.4    
	2017-06-25  	09:16:53  	00:04:39  	51.1    	59.4    
	2017-06-25  	09:16:54  	00:04:40  	49.5    	59.4    
	2017-06-25  	09:16:55  	00:04:41  	50.1    	59.4    
	2017-06-25  	09:16:56  	00:04:42  	49.9    	59.4    
	2017-06-25  	09:16:57  	00:04:43  	50.0    	59.4    
	2017-06-25  	09:16:58  	00:04:44  	50.7    	59.4    
	2017-06-25  	09:16:59  	00:04:45  	50.1    	59.3    
	2017-06-25  	09:17:00  	00:04:46  	50.4    	59.3    
	2017-06-25  	09:17:01  	00:04:47  	49.7    	59.3    
	2017-06-25  	09:17:02  	00:04:48  	50.5    	59.3    
	2017-06-25  	09:17:03  	00:04:49  	51.0    	59.3    
	2017-06-25  	09:17:04  	00:04:50  	50.7    	59.3    
	2017-06-25  	09:17:05  	00:04:51  	50.8    	59.3    
	2017-06-25  	09:17:06  	00:04:52  	50.3    	59.3    
	2017-06-25  	09:17:07  	00:04:53  	51.1    	59.2    
	2017-06-25  	09:17:08  	00:04:54  	51.7    	59.2    
	2017-06-25  	09:17:09  	00:04:55  	51.0    	59.2    
	2017-06-25  	09:17:10  	00:04:56  	51.5    	59.2    
	2017-06-25  	09:17:11  	00:04:57  	51.5    	59.2    
	2017-06-25  	09:17:12  	00:04:58  	51.4    	59.2    
	2017-06-25  	09:17:13  	00:04:59  	51.5    	59.2    
	2017-06-25  	09:17:14  	00:05:00  	51.0    	59.2    
	2017-06-25  	09:17:15  	00:05:01  	50.6    	59.1    
	2017-06-25  	09:17:16  	00:05:02  	50.9    	59.1    
	2017-06-25  	09:17:17  	00:05:03  	51.1    	59.1    
	2017-06-25  	09:17:18  	00:05:04  	50.4    	59.1    
	2017-06-25  	09:17:19  	00:05:05  	51.8    	59.1    
	2017-06-25  	09:17:20  	00:05:06  	50.2    	59.1    
	2017-06-25  	09:17:21  	00:05:07  	50.3    	59.1    
	2017-06-25  	09:17:22  	00:05:08  	50.0    	59.1    
	2017-06-25  	09:17:23  	00:05:09  	50.1    	59.0    
	2017-06-25  	09:17:24  	00:05:10  	49.8    	59.0    
	2017-06-25  	09:17:25  	00:05:11  	49.4    	59.0    
	2017-06-25  	09:17:26  	00:05:12  	50.3    	59.0    
	2017-06-25  	09:17:27  	00:05:13  	50.6    	59.0    
	2017-06-25  	09:17:28  	00:05:14  	51.0    	59.0    
	2017-06-25  	09:17:29  	00:05:15  	51.0    	59.0    
	2017-06-25  	09:17:30  	00:05:16  	51.5    	59.0    
	2017-06-25  	09:17:31  	00:05:17  	51.0    	58.9    
	2017-06-25  	09:17:32  	00:05:18  	50.8    	58.9    
	2017-06-25  	09:17:33  	00:05:19  	49.8    	58.9    
	2017-06-25  	09:17:34  	00:05:20  	49.6    	58.9    
	2017-06-25  	09:17:35  	00:05:21  	49.1    	58.9    
	2017-06-25  	09:17:36  	00:05:22  	49.1    	58.9    
	2017-06-25  	09:17:37  	00:05:23  	49.2    	58.9    
	2017-06-25  	09:17:38  	00:05:24  	48.9    	58.9    
	2017-06-25  	09:17:39  	00:05:25  	49.2    	58.9    
	2017-06-25  	09:17:40  	00:05:26  	48.6    	58.8    
